Number,Date,Account,Amount,Subcategory,Memo
0,02/01/2025,12-34-56 12121212,0.99,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 2DEC/ 1JAN"
"	0",02/12/2024,12-34-56 12121212,1.09,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1NOV/ 1DEC"
"	0",01/11/2024,12-34-56 12121212,1.09,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1OCT/31OCT"
"	0",01/10/2024,12-34-56 12121212,2.41,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 2SEP/30SEP"
"	0",30/09/2024,12-34-56 12121212,-1100,Funds Transfer,"233445 23232323       	OPTIONAL FT	"
"	0",02/09/2024,12-34-56 12121212,2.97,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1AUG/ 1SEP"
"	0",20/08/2024,12-34-56 12121212,-300,Funds Transfer,"233445 23232323       	OPTIONAL FT	"
"	0",01/08/2024,12-34-56 12121212,3.04,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1JUL/31JUL"
"	0",01/07/2024,12-34-56 12121212,3.28,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 3JUN/30JUN"
"	0",19/06/2024,12-34-56 12121212,-750,Funds Transfer,"233445 23232323       	OPTIONAL FT	"
"	0",03/06/2024,12-34-56 12121212,4.34,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1MAY/ 2JUN"
"	0",01/05/2024,12-34-56 12121212,3.81,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 2APR/30APR"
"	0",02/04/2024,12-34-56 12121212,4.2,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1MAR/ 1APR"
"	0",01/03/2024,12-34-56 12121212,3.8,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 1FEB/29FEB"
"	0",01/02/2024,12-34-56 12121212,3.93,Credit Payment,"INTEREST PAID GROSS   	FOR PERIOD 2JAN/31JAN"
"	",,,,,
