Number,Date,Account,Amount,Subcategory,Memo
null,14/05/2018,23-34-45 23232323,-800,CASH,042788 11MAY 01.31    AMERSHAM 9         ATM
null,14/05/2018,23-34-45 23232323,-3758.76,DIRECTDEBIT,JOHN LEWIS            0503429066507392   DDR
null,14/05/2018,23-34-45 23232323,6422,FT ,029756 25780540       MOBILE-CHANNEL     FT 
null,14/05/2018,23-34-45 23232323,44.3,FT ,831473 47475120       TAXIS APR-92       FT 
null,14/05/2018,23-34-45 23232323,86.41,FT ,156668 03826384       CH CONTROLLER      FT 
null,14/05/2018,23-34-45 23232323,91,FT ,383713 04450313       CC GRADE 7 PIANO   FT 
null,14/05/2018,23-34-45 23232323,17,FT ,827829 98564166       BR. CLUB APR-83    FT 
null,14/05/2018,23-34-45 23232323,12.43,FT ,764965 25749268       BC DRUMS MAY-23    FT 
null,14/05/2018,23-34-45 23232323,26,FT ,106864 14973456       BOILER APR-06      FT 
null,14/05/2018,23-34-45 23232323,-202,FT ,477671 70298212       RENT MAY-92        FT 
null,14/05/2018,23-34-45 23232323,-25,PAYMENT,SUMUP *FOOTLUZ BOD    ON 11 MAY          BCC
null,14/05/2018,23-34-45 23232323,-88.2,PAYMENT,MARKS&SPENCER PLC     ON 12 MAY          BCC
null,14/05/2018,23-34-45 23232323,-83.48,PAYMENT,MARKS&SPENCER PLC     ON 11 MAY          CLP
null,14/05/2018,23-34-45 23232323,37.9,DIRECTDEP,123532833484-CHB   BGC 
null,11/05/2018,23-34-45 23232323,-86.6,PAYMENT,MARKS&SPENCER PLC     ON 10 MAY          CLP
null,11/05/2018,23-34-45 23232323,-2.8,PAYMENT,CSC ALDERSHOT         ON 10 MAY          CLP
null,11/05/2018,23-34-45 23232323,-6,DIRECTDEBIT,BRIAN D SUTTIE        457568 COGSWELL PH DDR
null,10/05/2018,23-34-45 23232323,-1.08,PAYMENT,ROBERT DYAS HOLDNG    ON 09 MAY          CLP
null,10/05/2018,23-34-45 23232323,-90.91,PAYMENT,MARKS&SPENCER PLC     ON 09 MAY          CLP
null,10/05/2018,23-34-45 23232323,-5,DIRECTDEBIT,OPENRIGHTS            ORG92160361        DDR
